FIPS,state,county,ZCTA5
10001,DE,kent,19977
10001,DE,kent,19938
10001,DE,kent,19901
10001,DE,kent,19904
10001,DE,kent,19952
10001,DE,kent,19946
10001,DE,kent,19943
10001,DE,kent,19950
10001,DE,kent,19979
10001,DE,kent,19934
10001,DE,kent,19953
10001,DE,kent,19962
10001,DE,kent,19902
10001,DE,kent,19955
10001,DE,kent,19963
10001,DE,kent,19936
10001,DE,kent,19964
10001,DE,kent,19954
10003,DE,new castle,19805
10003,DE,new castle,19732
10003,DE,new castle,19806
10003,DE,new castle,19803
10003,DE,new castle,19804
10003,DE,new castle,19711
10003,DE,new castle,19731
10003,DE,new castle,19701
10003,DE,new castle,19716
10003,DE,new castle,19734
10003,DE,new castle,19733
10003,DE,new castle,19736
10003,DE,new castle,19977
10003,DE,new castle,19801
10003,DE,new castle,19710
10003,DE,new castle,19707
10003,DE,new castle,19807
10003,DE,new castle,19720
10003,DE,new castle,19717
10003,DE,new castle,19810
10003,DE,new castle,19730
10003,DE,new castle,19802
10003,DE,new castle,19709
10003,DE,new castle,19703
10003,DE,new castle,19702
10003,DE,new castle,19938
10003,DE,new castle,19808
10003,DE,new castle,19809
10003,DE,new castle,19735
10003,DE,new castle,19706
10003,DE,new castle,21912
10003,DE,new castle,19713
10005,DE,sussex,19975
10005,DE,sussex,19960
10005,DE,sussex,19967
10005,DE,sussex,19930
10005,DE,sussex,19950
10005,DE,sussex,19966
10005,DE,sussex,19970
10005,DE,sussex,19951
10005,DE,sussex,19971
10005,DE,sussex,19973
10005,DE,sussex,19940
10005,DE,sussex,19941
10005,DE,sussex,19944
10005,DE,sussex,19963
10005,DE,sussex,19947
10005,DE,sussex,19968
10005,DE,sussex,19931
10005,DE,sussex,19933
10005,DE,sussex,19952
10005,DE,sussex,19958
10005,DE,sussex,19939
10005,DE,sussex,19945
10005,DE,sussex,19956
11001,DC,district of co,20373
11001,DC,district of co,20551
11001,DC,district of co,20540
11001,DC,district of co,20560
11001,DC,district of co,20001
11001,DC,district of co,20064
11001,DC,district of co,20593
11001,DC,district of co,20015
11001,DC,district of co,20553
11001,DC,district of co,20204
11001,DC,district of co,20506
11001,DC,district of co,20230
11001,DC,district of co,20405
11001,DC,district of co,20037
11001,DC,district of co,20535
11001,DC,district of co,20052
11001,DC,district of co,20053
11001,DC,district of co,20566
11001,DC,district of co,20307
11001,DC,district of co,20319
11001,DC,district of co,20024
11001,DC,district of co,20018
11001,DC,district of co,20202
11001,DC,district of co,20004
11001,DC,district of co,20240
11001,DC,district of co,20520
11001,DC,district of co,20007
11001,DC,district of co,20008
11001,DC,district of co,20012
11001,DC,district of co,20245
11001,DC,district of co,20565
11001,DC,district of co,20057
11001,DC,district of co,20418
11001,DC,district of co,20228
11001,DC,district of co,20317
11001,DC,district of co,20019
11001,DC,district of co,20036
11001,DC,district of co,20045
11001,DC,district of co,20006
11001,DC,district of co,20510
11001,DC,district of co,20260
11001,DC,district of co,20011
11001,DC,district of co,20009
11001,DC,district of co,20010
11001,DC,district of co,20002
11001,DC,district of co,20003
11001,DC,district of co,20427
11001,DC,district of co,20005
11001,DC,district of co,20032
11001,DC,district of co,20390
11001,DC,district of co,20020
11001,DC,district of co,20017
11001,DC,district of co,20016
12001,FL,alachua,32603
12001,FL,alachua,32616
12001,FL,alachua,32669
12001,FL,alachua,32622
12001,FL,alachua,32666
12001,FL,alachua,32631
12001,FL,alachua,32640
12001,FL,alachua,32615
12001,FL,alachua,32653
12001,FL,alachua,32641
12001,FL,alachua,32608
12001,FL,alachua,32607
12001,FL,alachua,32643
12001,FL,alachua,32694
12001,FL,alachua,32658
12001,FL,alachua,32609
12001,FL,alachua,32605
12001,FL,alachua,32618
12001,FL,alachua,32612
12001,FL,alachua,32606
12001,FL,alachua,32601
12001,FL,alachua,32667
12003,FL,baker,32063
12003,FL,baker,32040
12003,FL,baker,32234
12003,FL,baker,32072
12003,FL,baker,32087
12005,FL,bay,32410
12005,FL,bay,32409
12005,FL,bay,32407
12005,FL,bay,32456
12005,FL,bay,32466
12005,FL,bay,32413
12005,FL,bay,32462
12005,FL,bay,32408
12005,FL,bay,32405
12005,FL,bay,32437
12005,FL,bay,32403
12005,FL,bay,32444
12005,FL,bay,32404
12005,FL,bay,32438
12005,FL,bay,32401
12007,FL,bradford,32656
12007,FL,bradford,32026
12007,FL,bradford,32091
12007,FL,bradford,32083
12007,FL,bradford,32666
12007,FL,bradford,32058
12007,FL,bradford,32622
12007,FL,bradford,32054
12007,FL,bradford,32044
12009,FL,brevard,32952
12009,FL,brevard,32754
12009,FL,brevard,32940
12009,FL,brevard,32780
12009,FL,brevard,32925
12009,FL,brevard,32951
12009,FL,brevard,32948
12009,FL,brevard,32904
12009,FL,brevard,32937
12009,FL,brevard,32922
12009,FL,brevard,32920
12009,FL,brevard,32909
12009,FL,brevard,32905
12009,FL,brevard,32950
12009,FL,brevard,32955
12009,FL,brevard,32953
12009,FL,brevard,32901
12009,FL,brevard,32927
12009,FL,brevard,32796
12009,FL,brevard,32903
12009,FL,brevard,32949
12009,FL,brevard,32935
12009,FL,brevard,32907
12009,FL,brevard,32908
12009,FL,brevard,32976
12009,FL,brevard,32934
12009,FL,brevard,32926
12009,FL,brevard,32931
12011,FL,broward,33021
12011,FL,broward,33351
12011,FL,broward,33328
12011,FL,broward,33029
12011,FL,broward,33028
12011,FL,broward,33065
12011,FL,broward,33009
12011,FL,broward,33330
12011,FL,broward,33027
12011,FL,broward,33332
12011,FL,broward,33334
12011,FL,broward,33308
12011,FL,broward,33060
12011,FL,broward,33316
12011,FL,broward,33026
12011,FL,broward,33004
12011,FL,broward,33322
12011,FL,broward,33019
12011,FL,broward,33442
12011,FL,broward,33327
12011,FL,broward,33325
12011,FL,broward,33315
12011,FL,broward,33314
12011,FL,broward,33331
12011,FL,broward,33304
12011,FL,broward,33317
12011,FL,broward,33323
12011,FL,broward,33066
12011,FL,broward,33309
12011,FL,broward,33306
12011,FL,broward,33073
12011,FL,broward,33020
12011,FL,broward,33305
12011,FL,broward,33025
12011,FL,broward,33023
12011,FL,broward,33312
12011,FL,broward,33076
12011,FL,broward,33301
12011,FL,broward,33063
12011,FL,broward,33319
12011,FL,broward,33064
12011,FL,broward,33441
12011,FL,broward,33071
12011,FL,broward,33313
12011,FL,broward,33311
12011,FL,broward,33324
12011,FL,broward,33024
12011,FL,broward,33067
12011,FL,broward,33068
12011,FL,broward,33326
12011,FL,broward,33069
12011,FL,broward,33321
12011,FL,broward,33062
12013,FL,calhoun,32430
12013,FL,calhoun,32449
12013,FL,calhoun,32421
12013,FL,calhoun,32438
12013,FL,calhoun,32442
12013,FL,calhoun,32424
12015,FL,charlotte,33952
12015,FL,charlotte,33981
12015,FL,charlotte,33983
12015,FL,charlotte,34223
12015,FL,charlotte,33982
12015,FL,charlotte,34224
12015,FL,charlotte,33921
12015,FL,charlotte,33954
12015,FL,charlotte,33980
12015,FL,charlotte,33948
12015,FL,charlotte,33946
12015,FL,charlotte,33947
12015,FL,charlotte,33955
12015,FL,charlotte,33917
12015,FL,charlotte,33950
12015,FL,charlotte,33953
12017,FL,citrus,34450
12017,FL,citrus,34446
12017,FL,citrus,34429
12017,FL,citrus,34461
12017,FL,citrus,34433
12017,FL,citrus,34434
12017,FL,citrus,34452
12017,FL,citrus,34448
12017,FL,citrus,34465
12017,FL,citrus,34428
12017,FL,citrus,34453
12017,FL,citrus,34445
12017,FL,citrus,34436
12017,FL,citrus,34449
12017,FL,citrus,34442
12019,FL,clay,32091
12019,FL,clay,32656
12019,FL,clay,32073
12019,FL,clay,32079
12019,FL,clay,32234
12019,FL,clay,32065
12019,FL,clay,32043
12019,FL,clay,32058
12019,FL,clay,32003
12019,FL,clay,32068
12019,FL,clay,32666
12021,FL,collier,34112
12021,FL,collier,34140
12021,FL,collier,34137
12021,FL,collier,34145
12021,FL,collier,34105
12021,FL,collier,34114
12021,FL,collier,34120
12021,FL,collier,34134
12021,FL,collier,34142
12021,FL,collier,34103
12021,FL,collier,34139
12021,FL,collier,34104
12021,FL,collier,34101
12021,FL,collier,34113
12021,FL,collier,34102
12021,FL,collier,34138
12021,FL,collier,34117
12021,FL,collier,34141
12021,FL,collier,34108
12021,FL,collier,34109
12021,FL,collier,34116
12021,FL,collier,34119
12021,FL,collier,34110
12023,FL,columbia,32096
12023,FL,columbia,32024
12023,FL,columbia,32643
12023,FL,columbia,32094
12023,FL,columbia,32061
12023,FL,columbia,32038
12023,FL,columbia,32055
12023,FL,columbia,32025
12027,FL,desoto,34266
12027,FL,desoto,34268
12027,FL,desoto,34269
12029,FL,dixie,32680
12029,FL,dixie,32008
12029,FL,dixie,32628
12029,FL,dixie,32648
12029,FL,dixie,32359
12029,FL,dixie,32692
12031,FL,duval,32227
12031,FL,duval,32217
12031,FL,duval,32210
12031,FL,duval,32211
12031,FL,duval,32073
12031,FL,duval,32216
12031,FL,duval,32256
12031,FL,duval,32212
12031,FL,duval,32225
12031,FL,duval,32228
12031,FL,duval,32257
12031,FL,duval,32250
12031,FL,duval,32205
12031,FL,duval,32207
12031,FL,duval,32254
12031,FL,duval,32208
12031,FL,duval,32244
12031,FL,duval,32209
12031,FL,duval,32226
12031,FL,duval,32220
12031,FL,duval,32224
12031,FL,duval,32219
12031,FL,duval,32223
12031,FL,duval,32206
12031,FL,duval,32246
12031,FL,duval,32266
12031,FL,duval,32222
12031,FL,duval,32233
12031,FL,duval,32202
12031,FL,duval,32221
12031,FL,duval,32258
12031,FL,duval,32234
12031,FL,duval,32204
12031,FL,duval,32218
12031,FL,duval,32277
12033,FL,escambia,32526
12033,FL,escambia,32568
12033,FL,escambia,32508
12033,FL,escambia,32506
12033,FL,escambia,32507
12033,FL,escambia,32503
12033,FL,escambia,32502
12033,FL,escambia,32534
12033,FL,escambia,32514
12033,FL,escambia,32577
12033,FL,escambia,32501
12033,FL,escambia,32533
12033,FL,escambia,32509
12033,FL,escambia,32561
12033,FL,escambia,32535
12033,FL,escambia,32504
12033,FL,escambia,32505
12033,FL,escambia,32511
12035,FL,flagler,32164
12035,FL,flagler,32180
12035,FL,flagler,32136
12035,FL,flagler,32174
12035,FL,flagler,32137
12035,FL,flagler,32110
12037,FL,franklin,32320
12037,FL,franklin,32328
12037,FL,franklin,32323
12037,FL,franklin,32322
12037,FL,franklin,32321
12037,FL,franklin,32346
12037,FL,franklin,32358
12039,FL,gadsden,32343
12039,FL,gadsden,32333
12039,FL,gadsden,32330
12039,FL,gadsden,32351
12039,FL,gadsden,32324
12039,FL,gadsden,32352
12039,FL,gadsden,32332
12041,FL,gilchrist,32669
12041,FL,gilchrist,32008
12041,FL,gilchrist,32643
12041,FL,gilchrist,32693
12041,FL,gilchrist,32619
12043,FL,glades,33471
12043,FL,glades,33935
12043,FL,glades,33960
12043,FL,glades,33944
12043,FL,glades,34974
12045,FL,gulf,32465
12045,FL,gulf,32456
12047,FL,hamilton,32052
12047,FL,hamilton,32053
12047,FL,hamilton,32096
12049,FL,hardee,33873
12049,FL,hardee,33825
12049,FL,hardee,33834
12049,FL,hardee,33865
12049,FL,hardee,33890
12051,FL,hendry,33935
12051,FL,hendry,34142
12051,FL,hendry,33930
12051,FL,hendry,33440
12051,FL,hendry,33936
12053,FL,hernando,34602
12053,FL,hernando,34661
12053,FL,hernando,33597
12053,FL,hernando,34608
12053,FL,hernando,34609
12053,FL,hernando,34614
12053,FL,hernando,33523
12053,FL,hernando,34601
12053,FL,hernando,34604
12053,FL,hernando,34606
12053,FL,hernando,34613
12053,FL,hernando,34607
12055,FL,highlands,33872
12055,FL,highlands,33852
12055,FL,highlands,33876
12055,FL,highlands,33857
12055,FL,highlands,33875
12055,FL,highlands,33825
12055,FL,highlands,34974
12055,FL,highlands,33960
12055,FL,highlands,33870
12057,FL,hillsborough,33604
12057,FL,hillsborough,33578
12057,FL,hillsborough,33579
12057,FL,hillsborough,33609
12057,FL,hillsborough,33556
12057,FL,hillsborough,33603
12057,FL,hillsborough,33647
12057,FL,hillsborough,33618
12057,FL,hillsborough,33607
12057,FL,hillsborough,33548
12057,FL,hillsborough,33613
12057,FL,hillsborough,33616
12057,FL,hillsborough,33547
12057,FL,hillsborough,33611
12057,FL,hillsborough,33615
12057,FL,hillsborough,33617
12057,FL,hillsborough,33510
12057,FL,hillsborough,33606
12057,FL,hillsborough,33619
12057,FL,hillsborough,33610
12057,FL,hillsborough,33625
12057,FL,hillsborough,33527
12057,FL,hillsborough,33594
12057,FL,hillsborough,33540
12057,FL,hillsborough,33602
12057,FL,hillsborough,33549
12057,FL,hillsborough,33598
12057,FL,hillsborough,33810
12057,FL,hillsborough,33637
12057,FL,hillsborough,33511
12057,FL,hillsborough,33605
12057,FL,hillsborough,33621
12057,FL,hillsborough,33592
12057,FL,hillsborough,33620
12057,FL,hillsborough,33559
12057,FL,hillsborough,33614
12057,FL,hillsborough,33612
12057,FL,hillsborough,33503
12057,FL,hillsborough,33624
12057,FL,hillsborough,33573
12057,FL,hillsborough,33629
12057,FL,hillsborough,33626
12057,FL,hillsborough,33570
12057,FL,hillsborough,33596
12057,FL,hillsborough,33584
12057,FL,hillsborough,33563
12057,FL,hillsborough,33566
12057,FL,hillsborough,33635
12057,FL,hillsborough,33572
12057,FL,hillsborough,33569
12057,FL,hillsborough,33534
12057,FL,hillsborough,33634
12057,FL,hillsborough,33565
12057,FL,hillsborough,33558
12057,FL,hillsborough,33567
12059,FL,holmes,32455
12059,FL,holmes,32464
12059,FL,holmes,32440
12059,FL,holmes,32425
12061,FL,indian river,32948
12061,FL,indian river,32967
12061,FL,indian river,32963
12061,FL,indian river,32962
12061,FL,indian river,32958
12061,FL,indian river,32970
12061,FL,indian river,32966
12061,FL,indian river,32968
12061,FL,indian river,32960
12063,FL,jackson,32423
12063,FL,jackson,32447
12063,FL,jackson,32432
12063,FL,jackson,32446
12063,FL,jackson,32426
12063,FL,jackson,32443
12063,FL,jackson,32442
12063,FL,jackson,32420
12063,FL,jackson,32460
12063,FL,jackson,32431
12063,FL,jackson,32445
12063,FL,jackson,32448
12063,FL,jackson,32440
12065,FL,jefferson,32331
12065,FL,jefferson,32361
12065,FL,jefferson,32336
12065,FL,jefferson,32344
12067,FL,lafayette,32008
12067,FL,lafayette,32066
12069,FL,lake,34705
12069,FL,lake,32726
12069,FL,lake,32757
12069,FL,lake,34788
12069,FL,lake,32784
12069,FL,lake,34797
12069,FL,lake,32195
12069,FL,lake,34736
12069,FL,lake,32778
12069,FL,lake,34737
12069,FL,lake,32134
12069,FL,lake,34711
12069,FL,lake,34762
12069,FL,lake,32702
12069,FL,lake,32735
12069,FL,lake,32767
12069,FL,lake,34731
12069,FL,lake,34714
12069,FL,lake,32720
12069,FL,lake,34753
12069,FL,lake,32159
12069,FL,lake,32776
12069,FL,lake,34756
12069,FL,lake,34748
12069,FL,lake,32102
